,Applicant_Id,Job_Roles,Percentage,text
46,64,Pegasystems Developer,68.02,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Observation Skills;Communication Skills"
47,65,Appian Developer,68.4,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology News Gathering;Communication Skills"
48,66,Support Engineer,76.0,"B.E Information Technology Database Management,Technical Support,C/C++,Linux,Troubleshooting,Active Directory,OS,User Accounts,Java;Cloud Computing;AWS Cyber Security;Information Technology;Blockchain Work under Pressure;Accounting Skills"
49,70,Computer Programmer,71.25,"B.C.A Programming Languages C++;Python;SQL;Java;DBMS,System design,Networking;HTML,XHTML,PHP,JAVA Script ASP. net  Software;Web Designing;Animation Presentation Skills;Communication Skills"
50,72,Desktop Support Engineer,78.85,"B.TECH Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Blockchain ;Software;Information Technology Work under Pressure;Negotiation Skills"
51,73,Electrical Specialist,73.53,"B.E Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Cyber Security;Information Technology;Blockchain Team work;Negotiation Skills"
52,74,Salesforce Developer,73.62,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Wealth Management;Critical Thinking"
53,76,Inside Sales Associate,72.0,"B.B.A Marketing Company Website development,Product Development,Market Research,Networking,SEO,Email Campaigns,MS-Office,Sales Process,Analytics,Business Development Sales/Marketing Risk Managing;Accounting Skills"
54,77,Assistant Engineer,72.67,"B.TECH Civil Engineering Revit, Structural Analysis, BIM,Navisworks,Engineering Design,Engineering Drawings,Tekla,AUTOCAD, Solidworks,Civil 3D Designing;Construction;Interior Design Wealth Management;Gathering Informing"
55,78,Field Test Engineer,79.8,"B.TECH Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Blockchain ;Software;Information Technology Building Rapport;Analytic Thinking"
56,79,Systems Architect,78.0,B.SC Computer Science AI;ML;Python;Java;SQL;Oracle;Programming;Tableau;Designing Skills Animation; Software Presentation Skills;Negotiation Skills
57,80,Support Engineer,71.0,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Logical Skills;Active Listening"
58,81,SQL/ETL Developer,85.0,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Problem Solving skills;People Management"
59,83,Qauntitative Research,61.4,"B.SC Statistics Analytical research skills;Data Analysis;Machine Learning,Calculus;Spss;Hypothesis Data Science;Data Analysis;Research Building Rapport;Critical Thinking"
60,84,Associate Design Engineer,68.4,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Building Rapport;Gathering Informing"
61,86,Device   Engineer,52.0,"B.TECH Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Blockchain ;Software;Information Technology Work under Pressure;Negotiation Skills"
62,88,CES-CAE- FEA Analyst,80.75,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Leadership;Active Listening"
63,89,Service Engineer,63.9,"B.TECH Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Blockchain ;Software;Information Technology Wealth Management;Analytic Thinking"
64,90,Mechanical Design Engineer,80.37,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Logical Skills;Accounting Skills"
65,92,Financial Analyst,88.35,"B.COM Accounting and Finance General Ledger Accounts,Financial Statements,Gaap,Payroll,CPA, Balance Sheet,Internal Audit,Financial Transactions, Real Estate Financial Analysis;Logistics Logical Skills;Gathering Informing"
66,93,Agricultural engineer,67.0,B.SC Agriculture Food Safety;State Regulations;GIS;Analytical thinking;Research;Data analysis;Energy Management;Pest Management;Microbiology;Organic Farming Research Wealth Management;Critical Thinking
67,94,Legal Officer,73.15,B.A Law Analytical and research skills;Persuasive communication;Advocacy;Resilience;Negotiation Skills;Civil & Criminal Law Law;Content Writing Leadership;Negotiation Skills
68,96,Quantitative Analytics Specialist,65.55,B.SC Physics Mathematical Concepts;Research;Teaching;Technical Reports;Mathematical Modeling;Calculus;Algebra;Teaching;Astronomy Teaching News Gathering;Analytic Thinking
69,98,Solutions Architect,71.25,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Problem Solving skills;People Management"
70,99,Cloud Architect,67.45,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Team work;Active Listening"
71,100,Accountant ,80.27,"B.COM Accounting and Finance General Ledger Accounts,Financial Statements,Gaap,Payroll,CPA, Balance Sheet,Internal Audit,Financial Transactions, Real Estate Financial Analysis;Logistics Interpersonal Skills;Analytic Thinking"
72,101,Electronics Technician,84.55,"B.TECH Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Blockchain ;Software;Information Technology Wealth Management;Critical Thinking"
73,102,Export-import Manager,83.22,"B.B.A Finance Financial Models,Variance Analysis,Customer Service,Financial Performance,Data Analysis,Pivot Tables,Ad-Hoc Analysis,SQL, General Ledger Accounts,ERP Financial Analysis;Blockchain Observation Skills;People Management"
74,103,Biochemist,88.16,B.E Biotechnology Polymerase Chain Reaction (PCR);Molecular Biology;Life Sciences;Molecular Biology protein purification;protein chemistry;Protein Assays;Protein Electrophoresis;Protein Chromatography;Western Blotting;Protein Structure Prediction;Protein Kinases;Protein structure;protein characterization;protein engineering Biotechnology Interpersonal Skills;Negotiation Skills
75,104,Mechanical Model Engineer,47.0,"B.TECH Automobile Engineering Engineering Design,CAD, Engineering Drawings,Product Design,Electrical Systems,R,CAE(autocad/catia/ansys/proE/SeimensNX) Designing;Animation;Blockchain Leadership;People Management"
76,110,Geotechnical Engnineer,0.0,"B.E.  Civil Engineering Revit, Structural Analysis, BIM,Navisworks,Engineering Design,Engineering Drawings,Tekla,AUTOCAD, Solidworks,Civil 3D Construction;Designing Team work;Active Listening"
77,111,SystemAdmin,84.55,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Leadership;Critical Thinking"
78,112,Private Attorney,74.1,B.A Law Analytical and research skills;Persuasive communication;Advocacy;Resilience;Negotiation Skills;Civil & Criminal Law Law;Content Writing Presentation Skills;Gathering Informing
79,114,CES-CAE- FEA Analyst,53.0,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Work under Pressure;Gathering Informing"
80,117,Lawyer,73.0,B.A Law Analytical and research skills;Persuasive communication;Advocacy;Resilience;Negotiation Skills;Civil & Criminal Law Law;Content Writing Problem Solving Skills;Gathering Informing
81,118,Associate Traffic Engineer,83.41,"B.TECH Civil Engineering Revit, Structural Analysis, BIM,Navisworks,Engineering Design,Engineering Drawings,Tekla,AUTOCAD, Solidworks,Civil 3D Designing;Construction;Interior Design Risk Managing;Communication Skills"
82,121,Life Sciences-Associate,83.6,B.SC Microbiology Protein expression/purification;Molecular Biology;Biochemistry;Protein chemistry;Cell culture;Cell biology;Bioinformatics;Polymerase Chain Reaction (PCR);molecular cloning;microscopy;Chromatography;Enzyme Kinetics;Biophysics electron microscopy;Cryo-EM;X-ray crystallography;Static Light Scattering;Chromatrography Biotechnology Wealth Management;People Management
83,126,Microbiologist,70.0,B.SC Biotechnology Cancer Research;cancer Biology;bacterial transformation;molecular cloning;cell culture; Gel Electrophoresis; Fluorescence Microscopy; Polymerase Chain Reaction (PCR); Real-Time Polymerase Chain Reaction (qPCR) Biotechnology Logical Skills;People Management
84,127,Field Sales Executive,68.4,"B.B.A Marketing Company Website development,Product Development,Market Research,Networking,SEO,Email Campaigns,MS-Office,Sales Process,Analytics,Business Development Sales/Marketing Logical Skills;Accounting Skills"
85,129,Accountant ,67.0,"B.B.A Finance Financial Models,Variance Analysis,Customer Service,Financial Performance,Data Analysis,Pivot Tables,Ad-Hoc Analysis,SQL, General Ledger Accounts,ERP Financial Analysis;Blockchain News Gathering;Accounting Skills"
86,131,Business Analyst,66.5,"B.TECH Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Blockchain ;Software;Information Technology Leadership;Critical Thinking"
87,133,Network Planning Engineer,62.98,"B.TECH Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Blockchain ;Software;Information Technology Problem Solving skills;Active Listening"
88,134,"Design and Development Engineer, Electronic Systems",59.0,"B.E Electronics and Communication Engineering C/C++,Java,MatLab,CAD,Control Sytems,Data structures,VLSI,PLC,Engineering Design,HDL,Digital signal processing,Networking Cyber Security;Information Technology;Blockchain Observation Skills;Accounting Skills"
89,135,Archaeologist,64.0,"B.A History Archaeology;Journalism,Publishing,News Presentation,Teaching,Campaigning,Government Policies,Civil & Criminal Law Content Creation Work under Pressure;Accounting Skills"
90,136,Python Developer,66.5,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Observation Skills;Negotiation Skills"
91,137,QA Engineer,66.88,"B.E Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Animation;Research;Designing; News Gathering;Analytic Thinking"
92,139,GIS Associate,66.0,"B.TECH Civil Engineering Revit, Structural Analysis, BIM,Navisworks,Engineering Design,Engineering Drawings,Tekla,AUTOCAD, Solidworks,Civil 3D Designing;Construction;Interior Design Risk Managing;People Management"
93,140,Network Operator,65.55,B.TECH Electronics and Telecommunications Engineering Information Security;Cyber Threat Intelligence (CTI);ITIL;Server Administration;Network Security;Sumologic;Crowdstrike Falcon;Active Directory;CiscoASA;ShavlikArcSight;Cisco Firewall Security; Blockchain ;Software;Information Technology Work under Pressure;Negotiation Skills
94,141,GoLang Developer,72.2,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Team work;Analytic Thinking"
95,142,Financial Analyst,61.56,"B.B.A Marketing Company Website development,Product Development,Market Research,Networking,SEO,Email Campaigns,MS-Office,Sales Process,Analytics,Business Development Sales/Marketing Interpersonal Skills;Accounting Skills"
96,143,Data Scientist,60.0,"B.SC Mathematics Maple,Matlab,Excel,Mathematical Reasoning,Mathematical Modeling Teaching;Data Analysis Wealth Management;Accounting Skills"
97,144,Biomanufacturing Specialist,61.75,B.SC Biotechnology Cancer Research;cancer Biology;bacterial transformation;molecular cloning;cell culture; Gel Electrophoresis; Fluorescence Microscopy; Polymerase Chain Reaction (PCR); Real-Time Polymerase Chain Reaction (qPCR) Biotechnology Problem Solving Skills;Gathering Informing
98,145,Clinical Research Associate,84.55,B.Pharmacy B.Pharmacy Life sciences; Pharmacovigilance;pharmacology; GMP; Pharmaceutics; Drug Discovery; Clinical Trials; Pharmacokinetics; Clinical Research; High-Performance Liquid Chromatography (HPLC); GCP;GLP; Research Building Rapport;Analytic Thinking
99,146,Editor-Theoretical Physics,67.0,B.SC Physics Mathematical Concepts;Research;Teaching;Technical Reports;Mathematical Modeling;Calculus;Algebra;Teaching;Astronomy Data Science;Data Analysis;Research Leadership;Negotiation Skills
100,147,Quality Analyst,70.015,B.TECH Biotechnology Polymerase Chain Reaction (PCR);Molecular Biology;Life Sciences;Molecular Biology protein purification;protein chemistry;Protein Assays;Protein Electrophoresis;Protein Chromatography;Western Blotting;Protein Structure Prediction;Protein Kinases;Protein structure;protein characterization;protein engineering Biotechnology Problem Solving Skills;Analytic Thinking
101,149,Software Engineer,70.0,B.SC Information Technology AI;ML;Python;Java;SQL;Oracle;Programming;Tableau;Designing Skills Animation; Software Team work;Negotiation Skills
102,151,Quality Engineer,84.07,B.TECH Biotechnology Polymerase Chain Reaction (PCR);Molecular Biology;Life Sciences;Molecular Biology protein purification;protein chemistry;Protein Assays;Protein Electrophoresis;Protein Chromatography;Western Blotting;Protein Structure Prediction;Protein Kinases;Protein structure;protein characterization;protein engineering Biotechnology Wealth Management;People Management
